代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	
000001	平安银行	-0.17	12.09	-0.02	12.09	12.10	943877	6458	0.08	          0.56	12.15	12.20	11.98	12.11	     8.13	1139043584	  1.01	银行	深圳	1.82	12.07	
000002	万 科Ａ	-0.54	33.46	-0.18	33.45	33.46	325102	6023	0.00	          0.33	33.87	33.91	33.34	33.64	    24.98	1092070016	  0.81	全国地产	深圳	1.69	33.59	
000004	国农科技	0.90	21.19	0.19	21.17	21.19	5896	202	-0.18	          0.71	21.04	21.24	20.80	21.00	--  	12416711	  1.02	生物制药	深圳	2.10	21.06	
000005	世纪星源	-1.20	4.12	-0.05	4.12	4.13	116399	2724	-0.23	          1.22	4.13	4.15	4.07	4.17	--  	47821296	  0.96	房产服务	深圳	1.92	4.11	
000006	深振业Ａ	-0.79	8.80	-0.07	8.78	8.80	1119432	11069	-0.55	          8.32	8.61	9.23	8.44	8.87	    26.27	971167232	  1.74	区域地产	深圳	8.91	8.68	
000007	全新好	-7.80	15.36	-1.30	15.35	15.36	119702	1435	0.07	          3.87	14.99	16.50	14.99	16.66	   386.44	183335264	  3.33	酒店餐饮	深圳	9.06	15.32	
000008	神州高铁	-0.27	7.45	-0.02	7.45	7.46	92903	914	-0.12	          0.35	7.47	7.48	7.38	7.47	   129.16	68954512	  1.13	运输设备	北京	1.34	7.42	
000009	中国宝安	1.95	6.26	0.12	6.25	6.26	208381	2409	0.32	          0.98	6.13	6.30	6.08	6.14	    55.91	128965432	  1.25	综合类	深圳	3.58	6.19	
000010	美丽生态	0.86	4.70	0.04	4.70	4.71	96231	979	-0.20	          1.84	4.64	4.78	4.62	4.66	   227.81	45252172	  1.07	建筑施工	深圳	3.43	4.70	
000011	深物业A	-1.50	16.40	-0.25	16.40	16.41	80609	1111	-0.17	          4.58	16.62	16.62	16.17	16.65	    12.72	131646640	  1.01	区域地产	深圳	2.70	16.33	
000012	南 玻Ａ	-0.37	8.16	-0.03	8.15	8.16	153720	3375	0.00	          1.02	8.19	8.21	8.08	8.19	    21.38	125126344	  1.18	玻璃	深圳	1.59	8.14	
000014	沙河股份	-0.35	11.38	-0.04	11.37	11.38	50498	1410	0.18	          2.50	11.42	11.44	11.21	11.42	   387.15	57097592	  0.66	全国地产	深圳	2.01	11.31	
000016	深康佳Ａ	-1.10	6.31	-0.07	6.30	6.31	141439	2602	0.00	          0.89	6.45	6.45	6.25	6.38	    88.44	89129168	  0.84	家用电器	深圳	3.13	6.30	
000017	深中华A	-2.66	6.21	-0.17	6.21	6.22	148086	1604	0.16	          4.89	6.16	6.34	6.03	6.38	--  	90889504	  1.60	文教休闲	深圳	4.86	6.14	
000018	神州长城	1.53	5.99	0.09	5.99	6.00	203785	1323	0.00	          2.70	6.10	6.18	5.98	5.90	    18.59	123747496	  2.12	装修装饰	深圳	3.39	6.07	
000019	深深宝Ａ	--  	12.15	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.15	--  	0	  0.00	软饮料	深圳	0.00	12.15	
000020	深华发Ａ	3.19	18.11	0.56	18.11	18.14	181746	4692	1.63	         10.03	17.99	18.75	17.42	17.55	 11042.31	326365536	  3.12	元器件	深圳	7.58	17.96	
000021	深科技	2.48	9.09	0.22	9.08	9.09	317631	2742	-0.10	          2.16	8.84	9.14	8.81	8.87	    21.39	286460320	  1.29	电脑设备	深圳	3.72	9.02	
000022	深赤湾Ａ	--  	24.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.14	    30.85	0	  0.00	港口	深圳	0.00	24.14	
000023	深天地Ａ	-1.92	19.41	-0.38	19.41	19.42	51304	1306	-0.04	          3.70	19.58	19.77	18.94	19.79	    59.68	98916968	  1.06	其他建材	深圳	4.19	19.28	
000025	特 力Ａ	-3.77	42.67	-1.67	42.66	42.67	130216	1685	-0.13	          6.72	42.30	44.00	42.21	44.34	   234.30	556756928	  0.97	汽车服务	深圳	4.04	42.76	
000026	飞亚达Ａ	0.67	10.58	0.07	10.57	10.58	22691	310	0.00	          0.64	10.50	10.62	10.40	10.51	    25.50	23842402	  1.14	其他商业	深圳	2.09	10.51	
000027	深圳能源	-1.17	5.92	-0.07	5.92	5.93	109141	665	-0.16	          0.28	5.95	5.96	5.90	5.99	    21.90	64674392	  0.82	火力发电	深圳	1.00	5.93	
000028	国药一致	1.48	59.15	0.86	59.14	59.15	10679	103	0.12	          0.35	58.94	59.91	58.00	58.29	    23.65	63345384	  2.02	医药商业	深圳	3.28	59.32	
000029	深深房Ａ	--  	11.17	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.17	    56.66	0	  0.00	区域地产	深圳	0.00	11.17	
000030	富奥股份	1.05	7.68	0.08	7.67	7.68	24217	65	0.00	          0.19	7.64	7.68	7.59	7.60	    11.56	18508792	  0.81	汽车配件	吉林	1.18	7.64	
000031	中粮地产	--  	8.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.00	    20.69	0	  0.00	全国地产	深圳	0.00	8.00	
000032	深桑达Ａ	0.99	9.21	0.09	9.20	9.21	53896	338	-0.31	          1.93	9.05	9.46	8.76	9.12	    64.78	48613364	  0.87	元器件	深圳	7.68	9.02	
000034	神州数码	--  	21.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	21.60	    33.88	0	  0.00	综合类	深圳	0.00	21.60	
